open,high,low,close,volume,adj_high,adj_low,adj_close,adj_open,adj_volume,split_factor,dividend,symbol,exchange,date
687.69,694.58,687.66,694.46,63310200.0,694.58,687.66,694.46,687.69,63480529.0,1.0,0.0,SPY,ARCX,2026-04-14 00:00:00+00:00
677.41,686.3,676.58,686.1,54083800.0,686.3,676.58,686.1,677.41,54185819.0,1.0,0.0,SPY,ARCX,2026-04-13 00:00:00+00:00
681.32,682.03,678.45,679.46,41916700.0,682.03,678.45,679.46,681.32,42253456.0,1.0,0.0,SPY,ARCX,2026-04-10 00:00:00+00:00
674.84,681.16,673.77,679.91,56969200.0,681.16,673.77,679.91,674.84,57134445.0,1.0,0.0,SPY,ARCX,2026-04-09 00:00:00+00:00
676.39,677.08,671.5,0.0,92921151.0,677.08,671.46,0.0,676.39,93606114.0,1.0,0.0,SPY,ARCX,2026-04-08 00:00:00+00:00
656.65,659.59,651.06,0.0,63440411.0,659.61,651.06,0.0,656.65,69980362.0,1.0,0.0,SPY,ARCX,2026-04-07 00:00:00+00:00
655.86,659.72,655.52,658.93,38994200.0,659.72,655.52,658.93,655.86,39105758.0,1.0,0.0,SPY,ARCX,2026-04-06 00:00:00+00:00
646.42,658.2,645.11,655.83,68358700.0,658.2,645.11,655.83,646.42,68358713.0,1.0,0.0,SPY,ARCX,2026-04-02 00:00:00+00:00
653.9,658.52,653.0,655.24,97734200.0,658.52,653.0,655.24,653.9,97841472.0,1.0,0.0,SPY,ARCX,2026-04-01 00:00:00+00:00
638.94,651.54,637.98,650.34,152197200.0,651.54,637.98,650.34,638.94,152534102.0,1.0,0.0,SPY,ARCX,2026-03-31 00:00:00+00:00
640.11,640.37,629.28,631.97,99080400.0,640.37,629.28,631.97,640.11,99275851.0,1.0,0.0,SPY,ARCX,2026-03-30 00:00:00+00:00
642.5,642.66,633.11,634.09,102725900.0,642.66,633.105,634.09,642.5,103649368.0,1.0,0.0,SPY,ARCX,2026-03-27 00:00:00+00:00
652.06,654.85,644.82,645.09,96353600.0,654.85,644.82,645.09,652.06,96494375.0,1.0,0.0,SPY,ARCX,2026-03-26 00:00:00+00:00
658.67,660.89,654.24,656.82,86252891.0,660.89,654.24,656.82,658.67,90653787.0,1.0,0.0,SPY,ARCX,2026-03-25 00:00:00+00:00
651.32,657.02,649.88,653.18,95310078.0,657.03,649.88,653.18,651.32,96457478.0,1.0,0.0,SPY,ARCX,2026-03-24 00:00:00+00:00
658.07,662.615,653.94,655.38,125203779.0,662.615,653.94,655.38,658.07,134802732.0,1.0,0.0,SPY,ARCX,2026-03-23 00:00:00+00:00
656.51,656.69,644.72,648.57,138283514.0,656.69,644.72,648.57,656.51,163617522.0,1.0,1.797,SPY,ARCX,2026-03-20 00:00:00+00:00
656.97,662.98,655.17,659.8,110067392.0,662.98,655.17,659.8,656.97,111272539.0,1.0,0.0,SPY,ARCX,2026-03-19 00:00:00+00:00
668.36,669.72,661.23,661.43,80910028.0,669.72,661.19,661.43,668.36,82062576.0,1.0,0.0,SPY,ARCX,2026-03-18 00:00:00+00:00
672.39,674.44,669.85,670.79,64870042.0,674.44,669.7,670.79,672.39,87128044.0,1.0,0.0,SPY,ARCX,2026-03-17 00:00:00+00:00
668.38,672.07,667.12,669.03,81253874.0,672.07,667.12,669.03,668.38,82023130.0,1.0,0.0,SPY,ARCX,2026-03-16 00:00:00+00:00
